Glucose_time,reading,SMA,EMA,ESA_0.3,ESA_0.5,ESA_0.7
2023-03-05 00:05:00,115.0,,,,,
2023-03-05 00:10:00,115.0,,115.0,115.0,115.0,115.0
2023-03-05 00:15:00,114.0,,115.0,115.0,115.0,115.0
2023-03-05 00:20:00,116.0,114.66666666666667,114.5,114.69999999999999,114.5,114.30000000000001
2023-03-05 00:25:00,116.5,115.0,115.25,115.08999999999999,115.25,115.49
2023-03-05 00:30:00,117.0,115.5,115.875,115.51299999999998,115.875,116.197
2023-03-05 00:35:00,120.0,116.5,116.4375,115.95909999999998,116.4375,116.75909999999999
2023-03-05 00:40:00,121.0,117.83333333333333,118.21875,117.17136999999998,118.21875,119.02773
2023-03-05 00:45:00,122.0,119.33333333333333,119.609375,118.31995899999998,119.609375,120.408319
2023-03-05 00:50:00,122.0,121.0,120.8046875,119.42397129999998,120.8046875,121.52249570000001
2023-03-05 00:55:00,121.5,121.66666666666667,121.40234375,120.19677990999998,121.40234375,121.85674871
2023-03-05 01:00:00,121.0,121.83333333333333,121.451171875,120.58774593699997,121.451171875,121.60702461300001
2023-03-05 01:05:00,119.0,121.5,121.2255859375,120.71142215589997,121.2255859375,121.18210738389999
2023-03-05 01:10:00,118.0,120.5,120.11279296875,120.19799550912998,120.11279296875,119.65463221517
2023-03-05 01:15:00,117.0,119.33333333333333,119.056396484375,119.53859685639097,119.056396484375,118.496389664551
2023-03-05 01:20:00,116.0,118.0,118.0281982421875,118.77701779947367,118.0281982421875,117.4489168993653
2023-03-05 01:25:00,113.5,117.0,117.01409912109375,117.94391245963156,117.01409912109375,116.43467506980959
2023-03-05 01:30:00,111.0,115.5,115.25704956054688,116.61073872174208,115.25704956054688,114.38040252094288
2023-03-05 01:35:00,107.0,113.5,113.12852478027344,114.92751710521945,113.12852478027344,112.01412075628286
2023-03-05 01:40:00,103.0,110.5,110.06426239013672,112.54926197365361,110.06426239013672,108.50423622688486
2023-03-05 01:45:00,99.0,107.0,106.53213119506836,109.68448338155753,106.53213119506836,104.65127086806545
2023-03-05 01:50:00,94.0,103.0,102.76606559753418,106.47913836709027,102.76606559753418,100.69538126041964
2023-03-05 01:55:00,90.5,98.66666666666667,98.38303279876709,102.73539685696319,98.38303279876709,96.00861437812588
2023-03-05 02:00:00,87.0,94.5,94.44151639938354,99.06477779987424,94.44151639938354,92.15258431343776
2023-03-05 02:05:00,88.0,90.5,90.72075819969177,95.44534445991195,90.72075819969177,88.54577529403133
2023-03-05 02:10:00,91.5,88.5,89.36037909984589,93.21174112193836,89.36037909984589,88.1637325882094
2023-03-05 02:15:00,95.0,88.83333333333333,90.43018954992294,92.69821878535686,90.43018954992294,90.49911977646282
2023-03-05 02:20:00,92.0,91.5,92.71509477496147,93.3887531497498,92.71509477496147,93.64973593293885
2023-03-05 02:25:00,89.0,92.83333333333333,92.35754738748074,92.97212720482486,92.35754738748074,92.49492077988165
2023-03-05 02:30:00,88.0,92.0,90.67877369374037,91.7804890433774,90.67877369374037,90.0484762339645
2023-03-05 02:35:00,85.0,89.66666666666667,89.33938684687018,90.64634233036418,89.33938684687018,88.61454287018935
2023-03-05 02:40:00,82.0,87.33333333333333,87.16969342343509,88.95243963125492,87.16969342343509,86.0843628610568
2023-03-05 02:45:00,81.0,85.0,84.58484671171755,86.86670774187844,84.58484671171755,83.22530885831705
2023-03-05 02:50:00,79.5,82.66666666666667,82.79242335585877,85.1066954193149,82.79242335585877,81.6675926574951
2023-03-05 02:55:00,78.0,80.83333333333333,81.14621167792939,83.42468679352042,81.14621167792939,80.15027779724853
2023-03-05 03:00:00,80.0,79.5,79.5731058389647,81.7972807554643,79.5731058389647,78.64508333917456
2023-03-05 03:05:00,80.0,79.16666666666667,79.78655291948235,81.258096528825,79.78655291948235,79.59352500175237
2023-03-05 03:10:00,80.0,79.33333333333333,79.89327645974117,80.88066757017751,79.89327645974117,79.87805750052571
2023-03-05 03:15:00,80.0,80.0,79.94663822987059,80.61646729912425,79.94663822987059,79.96341725015772
2023-03-05 03:20:00,82.0,80.0,79.9733191149353,80.43152710938696,79.9733191149353,79.98902517504732
2023-03-05 03:25:00,84.0,80.66666666666667,80.98665955746765,80.90206897657087,80.98665955746765,81.3967075525142
2023-03-05 03:30:00,84.0,82.0,82.49332977873382,81.83144828359961,82.49332977873382,83.21901226575426
2023-03-05 03:35:00,82.0,83.33333333333333,83.24666488936691,82.48201379851973,83.24666488936691,83.76570367972627
2023-03-05 03:40:00,80.0,83.33333333333333,82.62333244468346,82.33740965896381,82.62333244468346,82.52971110391789
2023-03-05 03:45:00,87.0,82.0,81.31166622234173,81.63618676127466,81.31166622234173,80.75891333117536
2023-03-05 03:50:00,94.0,83.0,84.15583311117086,83.24533073289226,84.15583311117086,85.12767399935261
2023-03-05 03:55:00,101.0,87.0,89.07791655558543,86.47173151302458,89.07791655558543,91.33830219980578
2023-03-05 04:00:00,107.0,94.0,95.03895827779272,90.8302120591172,95.03895827779272,98.10149065994173
2023-03-05 04:05:00,110.0,100.66666666666667,101.01947913889636,95.68114844138204,101.01947913889636,104.33044719798252
2023-03-05 04:10:00,110.0,106.0,105.50973956944819,99.97680390896743,105.50973956944819,108.29913415939475
2023-03-05 04:15:00,108.0,109.0,107.7548697847241,102.9837627362772,107.7548697847241,109.48974024781843
2023-03-05 04:20:00,107.0,109.33333333333333,107.87743489236205,104.48863391539405,107.87743489236205,108.44692207434554
2023-03-05 04:25:00,106.0,108.33333333333333,107.43871744618102,105.24204374077584,107.43871744618102,107.43407662230365
2023-03-05 04:30:00,105.0,107.0,106.71935872309051,105.46943061854309,106.71935872309051,106.43022298669109
2023-03-05 04:35:00,106.0,106.0,105.85967936154526,105.32860143298015,105.85967936154526,105.42906689600733
2023-03-05 04:40:00,108.0,105.66666666666667,105.92983968077263,105.53002100308609,105.92983968077263,105.8287200688022
2023-03-05 04:45:00,110.0,106.33333333333333,106.96491984038632,106.27101470216024,106.96491984038632,107.34861602064066
2023-03-05 04:50:00,112.0,108.0,108.48245992019315,107.38971029151216,108.48245992019315,109.2045848061922
2023-03-05 04:55:00,113.0,110.0,110.24122996009658,108.77279720405852,110.24122996009658,111.16137544185766
2023-03-05 05:00:00,113.0,111.66666666666667,111.62061498004829,110.04095804284097,111.62061498004829,112.4484126325573
2023-03-05 05:05:00,116.0,112.66666666666667,112.31030749002414,110.92867062998866,112.31030749002414,112.83452378976719
2023-03-05 05:10:00,113.0,114.0,114.15515374501207,112.45006944099205,114.15515374501207,115.05035713693016
2023-03-05 05:15:00,112.0,114.0,113.57757687250603,112.61504860869442,113.57757687250603,113.61510714107905
2023-03-05 05:20:00,110.0,113.66666666666667,112.78878843625301,112.4305340260861,112.78878843625301,112.48453214232372
2023-03-05 05:25:00,109.0,111.66666666666667,111.39439421812651,111.70137381826027,111.39439421812651,110.74535964269711
2023-03-05 05:30:00,108.5,110.33333333333333,110.19719710906325,110.89096167278217,110.19719710906325,109.52360789280914
2023-03-05 05:35:00,108.0,109.16666666666667,109.34859855453163,110.17367317094751,109.34859855453163,108.80708236784272
2023-03-05 05:40:00,106.0,108.5,108.67429927726582,109.52157121966326,108.67429927726582,108.24212471035281
2023-03-05 05:45:00,103.5,107.5,107.33714963863291,108.46509985376427,107.33714963863291,106.67263741310583
2023-03-05 05:50:00,101.0,105.83333333333333,105.41857481931646,106.97556989763498,105.41857481931646,104.45179122393174
2023-03-05 05:55:00,99.0,103.5,103.20928740965823,105.18289892834449,103.20928740965823,102.03553736717951
